"","method","power","cover_ratio","n_0"
"1","IVW",1,0,2000
"2","Egger",0.8,0.4,2000
"3","Weighted median",1,0,2000
"4","Weighted mode",1,0,2000
"5","MR-RAPS",1,0,2000
"6","Contamination Mixture",1,0,2000
"7","MR-Robust",1,0,2000
"8","MR-Lasso",1,0,2000
"9","Trans-OR",1,1,2000
"10","Trans-IPW",1,1,2000
"11","Trans-AIPW",1,1,2000
"12","IVW",1,0,4000
"13","Egger",1,0.2,4000
"14","Weighted median",1,0,4000
"15","Weighted mode",1,0,4000
"16","MR-RAPS",1,0,4000
"17","Contamination Mixture",1,0,4000
"18","MR-Robust",1,0,4000
"19","MR-Lasso",1,0,4000
"20","Trans-OR",1,1,4000
"21","Trans-IPW",1,1,4000
"22","Trans-AIPW",1,1,4000
"23","IVW",1,0,6000
"24","Egger",1,0.4,6000
"25","Weighted median",1,0,6000
"26","Weighted mode",1,0,6000
"27","MR-RAPS",1,0,6000
"28","Contamination Mixture",1,0,6000
"29","MR-Robust",1,0,6000
"30","MR-Lasso",1,0,6000
"31","Trans-OR",1,1,6000
"32","Trans-IPW",1,1,6000
"33","Trans-AIPW",1,1,6000
"34","IVW",1,0,8000
"35","Egger",1,0,8000
"36","Weighted median",1,0,8000
"37","Weighted mode",1,0,8000
"38","MR-RAPS",1,0,8000
"39","Contamination Mixture",1,0,8000
"40","MR-Robust",0.8,0.2,8000
"41","MR-Lasso",1,0,8000
"42","Trans-OR",1,0.8,8000
"43","Trans-IPW",1,0.6,8000
"44","Trans-AIPW",1,0.6,8000
"45","IVW",1,0,10000
"46","Egger",1,0,10000
"47","Weighted median",1,0,10000
"48","Weighted mode",1,0,10000
"49","MR-RAPS",1,0,10000
"50","Contamination Mixture",1,0,10000
"51","MR-Robust",1,0,10000
"52","MR-Lasso",1,0,10000
"53","Trans-OR",1,1,10000
"54","Trans-IPW",1,1,10000
"55","Trans-AIPW",1,1,10000
"56","IVW",1,0,12000
"57","Egger",1,0,12000
"58","Weighted median",1,0,12000
"59","Weighted mode",1,0,12000
"60","MR-RAPS",1,0,12000
"61","Contamination Mixture",1,0,12000
"62","MR-Robust",1,0,12000
"63","MR-Lasso",1,0,12000
"64","Trans-OR",1,0.8,12000
"65","Trans-IPW",1,1,12000
"66","Trans-AIPW",1,1,12000
